Date,Balance,Shares,Share Price,Value of Shares
2022-11-17,10000.0,0,146.43,0.0
2022-11-18,10000.0,0,152.31,0.0
2022-11-21,10000.0,0,150.16,0.0
2022-11-22,10000.0,0,148.13,0.0
2022-11-23,10000.0,0,149.45,0.0
2022-11-25,8961.83,7,148.31,1038.17
2022-11-28,8090.99,13,145.14,1886.82
2022-11-29,7225.25,19,144.29,2741.51
2022-11-30,6518.25,24,141.4,3393.6
2022-12-01,6814.67,22,148.21,3260.62
2022-12-02,6084.87,27,145.96,3940.92
2022-12-05,6528.18,24,147.77,3546.48
2022-12-06,6822.32,22,147.07,3235.54
2022-12-07,6111.37,27,142.19,3839.13
2022-12-08,5541.93,31,142.36,4413.16
2022-12-09,4972.57,35,142.34,4981.9
2022-12-12,4544.47,38,142.7,5422.6
2022-12-13,5142.47,34,149.5,5083.0
2022-12-14,5578.52,31,145.35,4505.85
2022-12-15,5014.08,35,141.11,4938.85
2022-12-16,4467.32,39,136.69,5330.91
2022-12-19,4061.99,42,135.11,5674.62
2022-12-20,3667.82,45,131.39,5912.55
2022-12-21,3268.88,48,132.98,6383.04
2022-12-22,3940.63,43,134.35,5777.05
2022-12-23,3547.87,46,130.92,6022.32
2022-12-27,3153.73,49,131.38,6437.62
2022-12-28,2894.39,51,129.67,6613.17
2022-12-29,2638.41,53,127.99,6783.47
2022-12-30,2381.59,55,128.41,7062.55
2023-01-03,3032.99,50,130.28,6514.0
2023-01-04,2779.21,52,126.89,6598.28
2023-01-05,2524.95,54,127.13,6865.02
2023-01-06,2272.93,56,126.01,7056.56
2023-01-09,3055.75,50,130.47,6523.5
2023-01-10,3707.05,45,130.26,5861.7
2023-01-11,4232.05,41,131.25,5381.25
2023-01-12,4767.57,37,133.88,4953.56
2023-01-13,5295.69,33,132.03,4356.99
2023-01-17,5700.18,30,134.83,4044.9
2023-01-18,6110.64,27,136.82,3694.14
2023-01-19,5440.24,32,134.08,4290.56
2023-01-20,5846.08,29,135.28,3923.12
2023-01-23,6260.44,26,138.12,3591.12
2023-01-24,6681.37,23,140.31,3227.13
2023-01-25,6963.15,21,140.89,2958.69
2023-01-26,7249.49,19,143.17,2720.23
2023-01-27,7535.81,17,143.16,2433.72
2023-01-30,7825.73,15,144.96,2174.4
2023-01-31,7112.23,20,142.7,2854.0
2023-02-01,7400.17,18,143.97,2591.46
2023-02-02,7697.97,16,148.9,2382.4
2023-02-03,7994.03,14,148.03,2072.42
2023-02-06,8146.6,13,152.57,1983.41
2023-02-07,8297.24,12,150.64,1807.68
2023-02-08,8451.12,11,153.88,1692.68
2023-02-09,8604.9,10,153.78,1537.8
2023-02-10,7708.14,16,149.46,2391.36
2023-02-13,6953.39,21,150.95,3169.95
2023-02-14,6192.79,26,152.12,3955.12
2023-02-15,6652.12,23,153.11,3521.53
2023-02-16,6959.14,21,153.51,3223.71
2023-02-17,6197.39,26,152.35,3961.1
2023-02-21,5596.59,30,150.2,4506.0
2023-02-22,5001.11,34,148.87,5061.58
2023-02-23,4550.84,37,150.09,5553.33
2023-02-24,4109.51,40,147.11,5884.4
2023-02-27,3666.38,43,147.71,6351.53
2023-02-28,3372.28,45,147.05,6617.25
2023-03-01,3078.62,47,146.83,6901.01
2023-03-02,2789.86,49,144.38,7074.62
2023-03-03,3530.06,44,148.04,6513.76
2023-03-06,4145.22,40,153.79,6151.6
2023-03-07,4760.02,36,153.7,5533.2
2023-03-08,5371.26,32,152.81,4889.92
2023-03-09,5831.94,29,153.56,4453.24
2023-03-10,5231.1,33,150.21,4956.93
2023-03-13,4639.86,37,147.81,5468.97
2023-03-14,5244.98,33,151.28,4992.24
2023-03-15,5698.55,30,151.19,4535.7
2023-03-16,6155.03,27,152.16,4108.32
2023-03-17,6623.27,24,156.08,3745.92
2023-03-20,6933.41,22,155.07,3411.54
2023-03-21,7248.05,20,157.32,3146.4
2023-03-22,7566.65,18,159.3,2867.4
2023-03-23,7884.31,16,158.83,2541.28
2023-03-24,8202.03,14,158.86,2224.04
2023-03-27,8361.97,13,159.94,2079.22
2023-03-28,7572.12,18,157.97,2843.46
2023-03-29,7890.86,16,159.37,2549.92
2023-03-30,8213.92,14,161.53,2261.42
2023-03-31,8376.36,13,162.44,2111.72
2023-04-03,8540.63,12,164.27,1971.24
2023-04-04,8707.23,11,166.6,1832.6
2023-04-05,8871.97,10,164.74,1647.4
2023-04-06,8059.82,15,162.43,2436.45
2023-04-10,7252.72,20,161.42,3228.4
2023-04-11,6603.32,24,162.35,3896.4
2023-04-12,5958.44,28,161.22,4514.16
2023-04-13,5311.92,32,161.63,5172.16
2023-04-14,5805.69,29,164.59,4773.11
2023-04-17,6300.96,26,165.09,4292.34
2023-04-18,6799.26,23,166.1,3820.3
2023-04-19,7130.86,21,165.8,3481.8
2023-04-20,7463.04,19,166.09,3155.71
2023-04-21,6637.79,24,165.05,3961.2
2023-04-24,5977.79,28,165.0,4620.0
2023-04-25,5317.03,32,165.19,5286.08
2023-04-26,4827.85,35,163.06,5707.1
2023-04-27,5323.42,32,165.19,5286.08
2023-04-28,5828.89,29,168.49,4886.21
2023-05-01,6336.73,26,169.28,4401.28
2023-05-02,6847.0,23,170.09,3912.07
2023-05-03,7186.0,21,169.5,3559.5
2023-05-04,6526.44,25,164.89,4122.25
2023-05-05,6868.4,23,170.98,3932.54
2023-05-08,7213.36,21,172.48,3622.08
2023-05-09,7559.46,19,173.05,3287.95
2023-05-10,7905.5,17,173.02,2941.34
2023-05-11,8253.2,15,173.85,2607.75
2023-05-12,8426.82,14,173.62,2430.68
2023-05-15,8599.98,13,173.16,2251.08
2023-05-16,7740.03,18,171.99,3095.82
2023-05-17,6881.48,23,171.71,3949.33
2023-05-18,7227.48,21,173.0,3633.0
2023-05-19,7580.26,19,176.39,3351.41
2023-05-22,7928.22,17,173.98,2957.66
2023-05-23,7062.57,22,173.13,3808.86
2023-05-24,6378.21,26,171.09,4448.34
2023-05-25,5688.57,30,172.41,5172.3
2023-05-26,6208.53,27,173.32,4679.64
2023-05-30,6739.41,24,176.96,4247.04
2023-05-31,7094.07,22,177.33,3901.26
2023-06-01,7449.47,20,177.7,3554.0
2023-06-02,7811.53,18,181.03,3258.54
2023-06-05,8176.79,16,182.63,2922.08
2023-06-06,8536.73,14,179.97,2519.58
2023-06-07,7644.53,19,178.44,3390.36
2023-06-08,6932.93,23,177.9,4091.7
2023-06-09,7295.93,21,181.5,3811.5
2023-06-12,7658.47,19,181.27,3444.13
2023-06-13,8024.07,17,182.8,3107.6
2023-06-14,8390.81,15,183.37,2750.55
2023-06-15,8574.77,14,183.96,2575.44
2023-06-16,8761.5,13,186.73,2427.49
2023-06-20,8945.91,12,184.41,2212.92
