Date,Balance,Shares,Share Price,Value of Shares
2022-11-17,10000.0,0,237.78,0.0
2022-11-18,10000.0,0,243.51,0.0
2022-11-21,10000.0,0,241.43,0.0
2022-11-22,10000.0,0,243.59,0.0
2022-11-23,10000.0,0,245.11,0.0
2022-11-25,10000.0,0,247.31,0.0
2022-11-28,10000.0,0,246.08,0.0
2022-11-29,10000.0,0,241.4,0.0
2022-11-30,10000.0,0,240.57,0.0
2022-12-01,10000.0,0,253.87,0.0
2022-12-02,10000.0,0,249.82,0.0
2022-12-05,10000.0,0,252.01,0.0
2022-12-06,10000.0,0,250.82,0.0
2022-12-07,10000.0,0,244.83,0.0
2022-12-08,10000.0,0,244.84,0.0
2022-12-09,10000.0,0,244.7,0.0
2022-12-12,10000.0,0,247.45,0.0
2022-12-13,10000.0,0,261.69,0.0
2022-12-14,10000.0,0,257.13,0.0
2022-12-15,10000.0,0,253.72,0.0
2022-12-16,10000.0,0,248.55,0.0
2022-12-19,9020.56,4,244.86,979.44
2022-12-20,8062.96,8,239.4,1915.2
2022-12-21,7337.89,11,241.69,2658.59
2022-12-22,6614.11,14,241.26,3377.64
2022-12-23,5905.78,17,236.11,4013.87
2022-12-27,5428.38,19,238.7,4535.3
2022-12-28,4954.6,21,236.89,4974.69
2022-12-29,4483.3,23,235.65,5419.95
2022-12-30,4006.88,25,238.21,5955.25
2023-01-03,3520.72,27,243.08,6563.16
2023-01-04,3056.16,29,232.28,6736.12
2023-01-05,2828.96,30,227.2,6816.0
2023-01-06,2605.96,31,223.0,6913.0
2023-01-09,2379.51,32,226.45,7246.4
2023-01-10,2151.75,33,227.76,7516.08
2023-01-11,1920.46,34,231.29,7863.86
2023-01-12,1685.2,35,235.26,8234.1
2023-01-13,1448.2,36,237.0,8532.0
2023-01-17,2400.08,32,237.97,7615.04
2023-01-18,3124.79,29,241.57,7005.53
2023-01-19,2891.01,30,233.78,7013.4
2023-01-20,2656.15,31,234.86,7280.66
2023-01-23,3379.45,28,241.1,6750.8
2023-01-24,4106.95,25,242.5,6062.5
2023-01-25,3637.99,27,234.48,6330.96
2023-01-26,4368.94,24,243.65,5847.6
2023-01-27,4866.92,22,248.99,5477.78
2023-01-30,5355.94,20,244.51,4890.2
2023-01-31,5842.84,18,243.45,4382.1
2023-02-01,6338.84,16,248.0,3968.0
2023-02-02,6856.48,14,258.82,3623.48
2023-02-03,7116.02,13,259.54,3374.02
2023-02-06,7373.46,12,257.44,3089.28
2023-02-07,7633.99,11,260.53,2865.83
2023-02-08,7907.19,10,273.2,2732.0
2023-02-09,8180.99,9,273.8,2464.2
2023-02-10,8442.52,8,261.53,2092.24
2023-02-13,8710.16,7,267.64,1873.48
2023-02-14,8982.83,6,272.67,1636.02
2023-02-15,9251.15,5,268.32,1341.6
2023-02-16,9251.15,5,264.02,1320.1
2023-02-17,9251.15,5,259.39,1296.95
2023-02-21,8233.23,9,254.48,2290.32
2023-02-22,7470.96,12,254.09,3049.08
2023-02-23,6704.28,15,255.56,3833.4
2023-02-24,5954.4,18,249.96,4499.28
2023-02-27,5449.48,20,252.46,5049.2
2023-02-28,4951.34,22,249.07,5479.54
2023-03-01,4449.82,24,250.76,6018.24
2023-03-02,3956.72,26,246.55,6410.3
2023-03-03,3452.34,28,252.19,7061.32
2023-03-06,3195.91,29,256.43,7436.47
2023-03-07,2939.61,30,256.3,7689.0
2023-03-08,2685.57,31,254.04,7875.24
2023-03-09,2429.75,32,255.82,8186.24
2023-03-10,2178.67,33,251.08,8285.64
2023-03-13,1931.27,34,247.4,8411.6
2023-03-14,2701.52,31,256.75,7959.25
2023-03-15,3481.46,28,259.98,7279.44
2023-03-16,4277.09,25,265.21,6630.25
2023-03-17,4833.61,23,278.26,6399.98
2023-03-20,5387.57,21,276.98,5816.58
