Date,Balance,Shares,Share Price,Value of Shares
2022-11-17,10000.0,0,96.97,0.0
2022-11-18,10000.0,0,98.77,0.0
2022-11-21,10000.0,0,97.29,0.0
2022-11-22,10000.0,0,95.95,0.0
2022-11-23,10000.0,0,97.09,0.0
2022-11-25,10000.0,0,98.24,0.0
2022-11-28,10000.0,0,97.04,0.0
2022-11-29,10000.0,0,95.73,0.0
2022-11-30,10000.0,0,94.82,0.0
2022-12-01,10000.0,0,101.02,0.0
2022-12-02,10000.0,0,99.05,0.0
2022-12-05,10000.0,0,99.4,0.0
2022-12-06,10000.0,0,99.3,0.0
2022-12-07,10000.0,0,96.41,0.0
2022-12-08,10000.0,0,95.38,0.0
2022-12-09,10000.0,0,93.77,0.0
2022-12-12,10000.0,0,92.71,0.0
2022-12-13,10000.0,0,97.76,0.0
2022-12-14,10000.0,0,95.2,0.0
2022-12-15,10000.0,0,93.13,0.0
2022-12-16,9001.64,11,90.76,998.36
2022-12-19,8099.04,21,90.26,1895.46
2022-12-20,7306.05,30,88.11,2643.3
2022-12-21,6593.41,38,89.08,3385.04
2022-12-22,5976.29,45,88.16,3967.2
2022-12-23,5366.52,52,87.11,4529.72
2022-12-27,4833.72,58,88.8,5150.4
2022-12-28,4311.84,64,86.98,5566.72
2022-12-29,3878.74,69,86.62,5976.78
2022-12-30,3530.82,73,86.98,6349.54
2023-01-03,3172.46,77,89.59,6898.43
2023-01-04,2811.06,81,90.35,7318.35
2023-01-05,2548.65,84,87.47,7347.48
2023-01-06,2288.28,87,86.79,7550.73
2023-01-09,2023.2,90,88.36,7952.4
2023-01-10,1851.24,92,85.98,7910.16
2023-01-11,1672.88,94,89.18,8382.92
2023-01-12,2496.2,85,91.48,7775.8
2023-01-13,3223.0,77,90.85,6995.45
2023-01-17,3959.48,69,92.06,6352.14
2023-01-18,4604.46,62,92.14,5712.68
2023-01-19,5148.78,56,90.72,5080.32
2023-01-20,5719.38,50,95.1,4755.0
2023-01-23,6209.13,45,97.95,4407.75
2023-01-24,6601.53,41,98.1,4022.1
2023-01-25,6983.81,37,95.57,3536.09
2023-01-26,7369.81,33,96.5,3184.5
2023-01-27,7661.74,30,97.31,2919.3
2023-01-30,7954.18,27,97.48,2631.96
2023-01-31,8244.79,24,96.87,2324.88
2023-02-01,8442.21,22,98.71,2171.62
2023-02-02,8653.81,20,105.8,2116.0
2023-02-03,8859.67,18,102.93,1852.74
2023-02-06,9064.47,16,102.4,1638.4
2023-02-07,9270.91,14,103.22,1445.08
2023-02-08,9372.96,13,102.05,1326.65
2023-02-09,9472.96,12,100.0,1200.0
2023-02-10,8518.46,22,95.45,2099.9
2023-02-13,7665.8,31,94.74,2936.94
2023-02-14,6910.36,39,94.43,3682.77
2023-02-15,6248.93,46,94.49,4346.54
2023-02-16,5581.34,53,95.37,5054.61
2023-02-17,5012.24,59,94.85,5596.15
2023-02-21,4547.24,64,93.0,5952.0
2023-02-22,4088.74,69,91.7,6327.3
2023-02-23,3721.06,73,91.92,6710.16
2023-02-24,3363.3,77,89.44,6886.88
2023-02-27,3003.82,81,89.87,7279.47
2023-02-28,2735.83,84,89.33,7503.72
2023-03-01,2465.89,87,89.98,7828.26
2023-03-02,2196.91,90,89.66,8069.4
2023-03-03,2011.95,92,92.48,8508.16
2023-03-06,1823.91,94,94.02,8837.88
2023-03-07,2678.73,85,94.98,8073.3
2023-03-08,3431.69,77,94.12,7247.24
2023-03-09,4184.09,69,94.05,6489.45
2023-03-10,3723.24,74,92.17,6820.58
2023-03-13,3362.88,78,90.09,7027.02
2023-03-14,2992.64,82,92.56,7589.92
2023-03-15,3738.4,74,93.22,6898.28
2023-03-16,4411.8,67,96.2,6445.4
2023-03-17,5113.62,60,100.26,6015.6
2023-03-20,5714.34,54,100.12,5406.48
2023-03-21,6220.59,49,101.25,4961.25
2023-03-22,6741.94,44,104.27,4587.88
2023-03-23,7162.18,40,105.06,4202.4
2023-03-24,7582.14,36,104.99,3779.64
