Date,Balance,Shares,Share Price,Value of Shares
2022-11-17,10000.0,0,95.37,0.0
2022-11-18,10000.0,0,95.95,0.0
2022-11-21,10000.0,0,93.97,0.0
2022-11-22,10000.0,0,92.62,0.0
2022-11-23,10000.0,0,93.24,0.0
2022-11-25,10000.0,0,93.79,0.0
2022-11-28,10000.0,0,93.93,0.0
2022-11-29,10000.0,0,94.04,0.0
2022-11-30,8982.83,11,92.47,1017.17
2022-12-01,9079.82,10,96.99,969.9
2022-12-02,9174.3,9,94.48,850.32
2022-12-05,8243.8,19,93.05,1767.95
2022-12-06,7429.3,28,90.5,2534.0
2022-12-07,6722.58,36,88.34,3180.24
2022-12-08,6008.66,44,89.24,3926.56
2022-12-09,5386.36,51,88.9,4533.9
2022-12-12,4851.1,57,89.21,5084.97
2022-12-13,5422.48,51,95.23,4856.73
2022-12-14,5884.98,46,92.5,4255.0
2022-12-15,5255.75,53,89.89,4764.17
2022-12-16,4726.13,59,88.27,5207.93
2022-12-19,4288.58,64,87.51,5600.64
2022-12-20,3861.93,69,85.33,5887.77
2022-12-21,3517.21,73,86.18,6291.14
2022-12-22,3175.13,77,85.52,6585.04
2022-12-23,2842.13,81,83.25,6743.25
2022-12-27,2587.22,84,84.97,7137.48
2022-12-28,2338.82,87,82.8,7203.6
2022-12-29,2090.21,90,82.87,7458.3
2022-12-30,1840.85,93,83.12,7730.16
2023-01-03,2609.99,84,85.46,7178.64
2023-01-04,3302.39,76,86.55,6577.8
2023-01-05,3985.03,68,85.33,5802.44
2023-01-06,3569.88,73,83.03,6061.19
2023-01-09,4182.1,66,87.46,5772.36
2023-01-10,4795.09,59,87.57,5166.63
2023-01-11,5340.67,53,90.93,4819.29
2023-01-12,5825.32,48,96.93,4652.64
2023-01-13,6296.22,43,94.18,4049.74
2023-01-17,6690.94,39,98.68,3848.52
2023-01-18,7079.94,35,97.25,3403.75
2023-01-19,6416.76,42,94.74,3979.08
2023-01-20,5759.74,49,93.86,4599.14
2023-01-23,6247.54,44,97.56,4292.64
2023-01-24,6635.26,40,96.93,3877.2
2023-01-25,5987.34,47,92.56,4350.32
2023-01-26,6478.54,42,98.24,4126.08
2023-01-27,6876.66,38,99.53,3782.14
2023-01-30,7281.02,34,101.09,3437.06
2023-01-31,7584.5,31,101.16,3135.96
2023-02-01,7892.09,28,102.53,2870.84
2023-02-02,8222.84,25,110.25,2756.25
2023-02-03,8433.36,23,105.26,2420.98
2023-02-06,7609.92,31,102.93,3190.83
2023-02-07,6800.56,39,101.17,3945.63
2023-02-08,6086.28,46,102.04,4693.84
2023-02-09,5478.36,52,101.32,5268.64
2023-02-10,4893.0,58,97.56,5658.48
2023-02-13,4403.75,63,97.85,6164.55
2023-02-14,4010.11,67,98.41,6593.47
2023-02-15,4703.74,60,99.09,5945.4
2023-02-16,4207.69,65,99.21,6448.65
2023-02-17,3816.49,69,97.8,6748.2
2023-02-21,3435.13,73,95.34,6959.82
2023-02-22,3054.73,77,95.1,7322.7
2023-02-23,2766.37,80,96.12,7689.6
2023-02-24,2485.78,83,93.53,7762.99
2023-02-27,2202.94,86,94.28,8108.08
2023-02-28,2016.66,88,93.14,8196.32
2023-03-01,1828.92,90,93.87,8448.3
2023-03-02,1646.1,92,91.41,8409.72
2023-03-03,1460.62,94,92.74,8717.56
2023-03-06,2317.33,85,95.19,8091.15
2023-03-07,3069.81,77,94.06,7242.62
2023-03-08,3818.61,69,93.6,6458.4
2023-03-09,4474.37,62,93.68,5808.16
